tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean
lat+57.1454_lon+014.4573_00003,65536,25.7045955657959,19.484088897705078,-3.4475274085998535,0.6445056609022883,80.29119873046875,43.11162567138672,76.84367370605469
lat+59.2319_lon+011.9588_00012,65536,25.78182601928711,18.248794555664062,3.9220163822174072,0.7671004961970431,72.32914733886719,53.42313766479492,76.25115966796875
lat+59.4753_lon+013.5214_00057,65536,26.030092239379883,19.059968948364258,0.29232943058013916,0.7997001502550598,73.337646484375,58.16147232055664,73.62997436523438
lat+59.0350_lon+011.8953_00023,65536,26.207170486450195,18.60637092590332,1.3473759889602661,0.7374115261246454,71.89349365234375,51.142539978027344,73.2408676147461
lat+58.2369_lon+015.1494_00071,65536,26.39806365966797,20.326005935668945,-5.957715034484863,0.7931879976518607,93.31106567382812,58.04759216308594,87.35334777832031
lat+56.4476_lon+013.4045_00077,65536,26.576467514038086,20.28460121154785,8.398782730102539,0.6202212518649826,69.47698974609375,43.12527847290039,77.87577819824219
lat+59.8198_lon+012.8188_00076,65536,26.95962142944336,20.511585235595703,-6.080573081970215,0.6891418921430591,108.64280700683594,48.35403060913086,102.56224060058594
lat+58.5547_lon+011.5871_00007,65536,27.071889877319336,20.196874618530273,-4.255216121673584,0.7343430971644441,72.26353454589844,52.52402877807617,68.00831604003906
lat+56.1580_lon+013.4007_00069,65536,27.23932647705078,20.819055557250977,7.102655410766602,0.6497580237534772,74.07038879394531,46.02695846557617,81.17304229736328
lat+59.9203_lon+018.5129_00082,65536,27.267698287963867,20.190956115722656,5.793325901031494,0.7040436992788375,84.00222778320312,50.12272644042969,89.7955551147461
lat+58.0973_lon+013.3579_00061,65536,27.73126220703125,20.295547485351562,14.253995895385742,0.6994287661983486,46.058380126953125,50.581993103027344,60.3123779296875
lat+64.5499_lon+016.1106_00074,65536,27.92451286315918,21.424015045166016,-20.055986404418945,0.4538921292594088,48.111175537109375,37.78734588623047,28.055191040039062
lat+68.1915_lon+020.2047_00088,65536,28.224987030029297,21.964752197265625,-19.003950119018555,-0.2275871707604229,28.827301025390625,25.474613189697266,9.823349952697754
lat+64.6657_lon+014.1359_00075,65536,28.285478591918945,21.764636993408203,-19.51456069946289,0.3948688732887735,41.14402770996094,36.36124801635742,21.629467010498047
lat+57.2294_lon+012.7489_00010,65536,28.417070388793945,21.58873748779297,8.773200988769531,0.642031620855362,80.51834106445312,47.495994567871094,89.29154205322266
lat+58.1751_lon+015.8133_00009,65536,28.56015396118164,21.742855072021484,-8.152608871459961,0.7387824826756587,83.19108581542969,55.88038635253906,75.0384750366211
lat+58.0287_lon+015.4000_00063,65536,28.562698364257812,21.44808578491211,-7.604311943054199,0.7268812765716424,94.65838623046875,54.65419387817383,87.05406951904297
lat+63.1090_lon+017.7733_00044,65536,29.053377151489258,22.1363525390625,-10.487387657165527,0.5088440797969136,63.61102294921875,41.455955505371094,53.123634338378906
lat+56.0820_lon+013.5130_00047,65536,29.281082153320312,22.45524787902832,6.954171180725098,0.6350097945004878,86.94586181640625,48.467041015625,93.90003967285156
