tile,n_pixels,rmse,mae,bias,r2,true_mean,true_std,pred_mean,cci_sd_mean,cci_sd_rms,frac_sd_gt0,rmse_over_cci_sd,frac_within_1sd,frac_within_2sd
lat+67.6523_lon+023.0615_00034,65536,19.135099411010742,15.32748031616211,10.162385940551758,0.554175465376342,44.54029846191406,28.65818977355957,54.70268249511719,24.250869750976562,28.813636779785156,0.9298553466796875,0.6640987396240234,0.7022268169809154,0.8733323487421848
lat+66.9127_lon+017.5199_00039,65536,19.232894897460938,12.62663459777832,8.984521865844727,0.6827999867687455,20.265243530273438,34.14900588989258,29.249767303466797,12.010711669921875,23.59356689453125,0.281463623046875,0.8151753544807434,0.9070259134771766,0.9969098991651306
lat+58.7134_lon+016.7782_00064,65536,19.51177406311035,14.571768760681152,0.9623351097106934,0.8355125434191221,58.9449462890625,48.10944747924805,59.907283782958984,26.53802490234375,34.63107681274414,0.74798583984375,0.5634180307388306,0.7911056711546308,0.9060995512035904
lat+65.9057_lon+016.6585_00053,65536,19.669023513793945,14.512750625610352,8.817447662353516,0.7572861045806074,44.591583251953125,39.92413330078125,53.40903091430664,26.818267822265625,36.03325271606445,0.5992889404296875,0.5458575487136841,0.9381795035009548,0.9904519414385742
lat+58.9563_lon+013.0949_00096,65536,19.8165283203125,12.414031982421875,9.952195167541504,0.7444444091376885,24.276412963867188,39.19989013671875,34.228607177734375,9.874267578125,19.23443031311035,0.36529541015625,1.0302633047103882,0.5519632414369257,0.7801169590643274
lat+62.2352_lon+014.5236_00068,65536,19.974254608154297,15.232088088989258,12.42477798461914,0.6181013473493467,37.12359619140625,32.32187271118164,49.54837417602539,15.707351684570312,21.189228057861328,0.893035888671875,0.9426608085632324,0.5034172846256365,0.7208249325086287
lat+60.3117_lon+013.8347_00020,65536,20.147693634033203,15.77639389038086,-1.7227210998535156,0.7804384773430781,63.17085266113281,42.99789810180664,61.44812774658203,35.544281005859375,43.52806091308594,0.830474853515625,0.46286678314208984,0.8650277440928967,0.9471392349244846
lat+59.3482_lon+013.3680_00026,65536,20.269683837890625,14.958321571350098,7.596594333648682,0.846726788309514,34.04158020019531,51.774253845214844,41.63817596435547,14.131072998046875,26.053831100463867,0.378082275390625,0.7779924273490906,0.7429574622649124,0.8708935345871337
lat+62.7054_lon+016.4458_00011,65536,20.311777114868164,15.78706169128418,1.4889963865280151,0.8229882598298262,64.02476501464844,48.27773666381836,65.51376342773438,31.126205444335938,39.164432525634766,0.7928314208984375,0.5186281204223633,0.8228795781289093,0.9218614676956831
lat+63.3935_lon+014.4350_00038,65536,20.407997131347656,16.1964111328125,9.14687442779541,0.6783323327149235,62.11299133300781,35.98294448852539,71.2598648071289,36.507293701171875,42.271339416503906,0.9078369140625,0.4827856719493866,0.858914885034288,0.956148312491596
